item	voice	shape_group
absinth	3	P_
aftermath	3.52112676056338	_P
azimuth	2.54545454545455	P_
bailiff	2.72972972972973	P_
bath	4.6	P
behalf	4.575	_P
Behemoth	4.03125	P_
belief	1.73394495412844	_P
berth	3.42857142857143	P
billionth	3.17142857142857	P_
blacksmith	2.83823529411765	_P
bluff	1.61538461538462	P
booth	3.55	P
breath	1.61904761904762	P
brief	1.23529411764706	P
broth	3.47619047619048	P
calf	6.90909090909091	P
caliph	2.32258064516129	P_
carafe	2.90526315789474	_P
castoff	2.57142857142857	_P
chef	1.92307692307692	P
chief	3.41176470588235	P
clef	2.06666666666667	P
cliff	2	P
cloth	4.04166666666667	P
coelacanth	3.55	_P
cough	1.69230769230769	P
cuff	1.41176470588235	P
death	1.68181818181818	P
dwarf	6.26666666666667	P
earmuff	1.94936708860759	_P
earth	3.33333333333333	P
eighteenth	2.25352112676056	_P
eightieth	3.18918918918919	P_
elf	7	P
epitaph	3.16831683168317	_P
faith	2.78260869565217	P
fife	2.4	P
fourth	3.17647058823529	P
gaffe	2.08333333333333	P
giraffe	3.625	_P
goliath	2.12121212121212	P_
goof	2	P
Goth	3.58333333333333	P
graph	1.61538461538462	P
growth	1.78260869565217	P
gulf	2.76923076923077	P
half	6.76923076923077	P
handcuff	2.50704225352113	_P
hearth	3.22727272727273	P
heath	2.41176470588235	P
hieroglyph	2.04347826086957	P_
hoof	6.75	P
hyacinth	2.97916666666667	P_
kerchief	3.875	P_
knife	6	P
laugh	2.25806451612903	P
leaf	6.61538461538461	P
life	7	P
loaf	6.3125	P
mammoth	3.19354838709677	P_
mastiff	2.825	P_
midriff	1.97674418604651	_P
monolith	2.74418604651163	P_
month	1.65217391304348	P
moth	4.78260869565217	P
motif	2.86111111111111	_P
mouth	4.625	P
myth	2.23076923076923	P
nymph	2.09090909090909	P
oaf	2	P
oath	4.58823529411765	P
paragraph	2.52040816326531	_P
path	5.39130434782609	P
pilaf	2.90909090909091	_P
plaintiff	2.87096774193548	P_
polymath	3.39622641509434	_P
pontiff	2.46666666666667	P_
prof	1.625	P
proof	2.4	P
psychopath	4.01639344262295	_P
puff	2	P
quaff	2.35714285714286	P
reef	2.75	P
ref	1.1	P
relief	3.93814432989691	_P
roof	3.4375	P
Sabbath	3.72972972972973	P_
sabertooth	3.25	_P
safe	2.4	P
scarf	6.85714285714286	P
self	6.71428571428571	P
seraph	3.23333333333333	P_
serf	1.33333333333333	P
serif	2.60606060606061	P_
sheaf	5.75	P
sheath	5.16666666666667	P
shelf	6.875	P
sheriff	2.12121212121212	P_
skiff	2.33333333333333	P
sleuth	3.88235294117647	P
sloth	2.7	P
sniff	1.47826086956522	P
spoof	2.6	P
staff	2.07692307692308	P
stiff	1	P
strength	1.42857142857143	P
swath	4.57575757575758	P
tariff	2.24	P_
thief	6.57142857142857	P
tiff	2.71428571428571	P
triumph	2.16666666666667	P_
trough	3.41666666666667	P
truth	4.25	P
turf	2.5	P
vermouth	4.67	_P
waif	2.5	P
wharf	5.11111111111111	P
whiff	2.5	P
width	3.7037037037037	P
wife	6.35294117647059	P
wolf	6.57142857142857	P
wraith	4.7	P
wreath	4.6	P
youth	4	P
zenith	3.61538461538462	P_
