item	voice	IPA
aftermath	3.521127	æftɝmæθ
bailiff	2.729730	beɪlɪf
bath	4.600000	bæθ
behalf	4.575000	bɪhæf
Behemoth	4.031250	bəhiməθ, bihəməθ
belief	1.733945	bɪlif
berth	3.428571	bɝθ
billionth	3.171429	bɪljənθ
blacksmith	2.838235	blæksmɪθ
bluff	1.615385	blʌf
booth	3.550000	buθ
breath	1.619048	bɹɛθ
brief	1.235294	bɹif
broth	3.476190	bɹɔθ
calf	6.909091	kæf
caliph	2.322581	kæləf
carafe	2.905263	kəɹæf
castoff	2.571429	kæstɔf
chef	1.923077	ʃɛf
chief	3.411765	tʃif
clef	2.066667	klɛf
cliff	2.000000	klɪf
cloth	4.041667	klɔθ
coelacanth	3.550000	siləkænθ
cough	1.692308	kɑf, kɔf
cuff	1.411765	kʌf
death	1.681818	dɛθ
dwarf	6.266667	dwɔɹf
earmuff	1.949367	ɪɹməf, iɹməf
earth	3.333333	ɝθ
eighteenth	2.253521	eɪtinθ, eɪtinθ
eightieth	3.189189	eɪtiɪθ
elf	7.000000	ɛlf
epitaph	3.168317	ɛpətæf
faith	2.782609	feɪθ
fife	2.400000	faɪf
fourth	3.176471	fɔɹθ
gaffe	2.083333	gæf
giraffe	3.625000	dʒɝæf
goliath	2.121212	gəlaɪəθ
goof	2.000000	guf
Goth	3.583333	gɑθ
graph	1.615385	gɹæf
growth	1.782609	gɹoʊθ
gulf	2.769231	gʌlf
half	6.769231	hæf
handcuff	2.507042	hændkəf
hearth	3.227273	hɑɹθ
heath	2.411765	hiθ
hieroglyph	2.043478	haɪɹoʊglɪf
hoof	6.750000	huf
hyacinth	2.979167	haɪəsɪnθ
kerchief	3.875000	kɝtʃəf
knife	6.000000	naɪf
laugh	2.258065	læf
leaf	6.615385	lif
life	7.000000	laɪf
loaf	6.312500	loʊf
mammoth	3.193548	mæməθ
mastiff	2.825000	mæstəf
monolith	2.744186	mɑnəlɪθ
month	1.652174	mʌnθ
moth	4.782609	mɔθ
motif	2.861111	moʊtif
mouth	4.625000	maʊθ
myth	2.230769	mɪθ
nymph	2.090909	nɪmf
oath	4.588235	oʊθ
paragraph	2.520408	pæɹəgɹæf, pɛɹəgɹæf
path	5.391304	pæθ
pilaf	2.909091	pilɑf
plaintiff	2.870968	pleɪntəf, pleɪnəf
pontiff	2.466667	pɑntəf, pɑntɪf
proof	2.400000	pɹuf
psychopath	4.016393	saɪkoʊpæθ
puff	2.000000	pʌf
quaff	2.357143	kwɑf
reef	2.750000	ɹif
ref	1.100000	ɹɛf
relief	3.938144	ɹɪlif, ɹilif
roof	3.437500	ɹuf, ɹʊf
Sabbath	3.729730	sæbəθ
safe	2.400000	seɪf
scarf	6.857143	skɑɹf
self	6.714286	sɛlf
serf	1.333333	sɝf
sheaf	5.750000	ʃif
sheath	5.166667	ʃiθ
shelf	6.875000	ʃɛlf
sheriff	2.121212	ʃɛɹəf, ʃɛɹɪf
skiff	2.333333	skɪf
sleuth	3.882353	sluθ
sloth	2.700000	sloʊθ
sniff	1.478261	snɪf
spoof	2.600000	spuf
staff	2.076923	stæf
stiff	1.000000	stɪf
strength	1.428571	stɹɛŋkθ, stɹɛŋθ
swath	4.575758	swɑθ
tariff	2.240000	tɛɹəf
thief	6.571429	θif
tiff	2.714286	tɪf
triumph	2.166667	tɹaɪəmf
trough	3.416667	tɹɔf
truth	4.250000	tɹuθ
turf	2.500000	tɝf
vermouth	4.670000	vɝmuθ
waif	2.500000	weɪf
wharf	5.111111	wɔɹf, hwɔɹf
whiff	2.500000	wɪf, hwɪf
width	3.703704	wɪdθ
wife	6.352941	waɪf
wolf	6.571429	wʊlf
wreath	4.600000	ɹiθ
youth	4.000000	juθ
zenith	3.615385	zinɪθ
