item	voice	shape_group	IPA
aftermath	3.521127	_P	ˈæftɝmæθ
bailiff	2.729730	P_	ˈbeɪlɪf
bath	4.600000	P	ˈbæθ
behalf	4.575000	_P	bɪˈhæf
Behemoth	4.031250	P_	bəˈhiməθ, ˈbihəməθ
belief	1.733945	_P	bɪˈlif
berth	3.428571	P	ˈbɝθ
billionth	3.171429	P_	ˈbɪljənθ
blacksmith	2.838235	_P	ˈblæksmɪθ
bluff	1.615385	P	ˈblʌf
booth	3.550000	P	ˈbuθ
breath	1.619048	P	ˈbɹɛθ
brief	1.235294	P	ˈbɹif
broth	3.476190	P	ˈbɹɔθ
calf	6.909091	P	ˈkæf
caliph	2.322581	P_	ˈkæləf
carafe	2.905263	_P	kəˈɹæf
castoff	2.571429	_P	ˈkæstɔf
chef	1.923077	P	ˈʃɛf
chief	3.411765	P	ˈtʃif
clef	2.066667	P	ˈklɛf
cliff	2.000000	P	ˈklɪf
cloth	4.041667	P	ˈklɔθ
coelacanth	3.550000	_P	ˈsiləkænθ
cough	1.692308	P	ˈkɑf, ˈkɔf
cuff	1.411765	P	ˈkʌf
death	1.681818	P	ˈdɛθ
dwarf	6.266667	P	ˈdwɔɹf
earmuff	1.949367	_P	ˈɪɹməf, ˈiɹməf
earth	3.333333	P	ˈɝθ
eighteenth	2.253521	_P	eɪˈtinθ, ˈeɪˈtinθ
eightieth	3.189189	P_	ˈeɪtiɪθ
elf	7.000000	P	ˈɛlf
epitaph	3.168317	_P	ˈɛpətæf
faith	2.782609	P	ˈfeɪθ
fife	2.400000	P	ˈfaɪf
fourth	3.176471	P	ˈfɔɹθ
gaffe	2.083333	P	ˈgæf
giraffe	3.625000	_P	dʒɝˈæf
goliath	2.121212	P_	gəˈlaɪəθ
goof	2.000000	P	ˈguf
Goth	3.583333	P	ˈgɑθ
graph	1.615385	P	ˈgɹæf
growth	1.782609	P	ˈgɹoʊθ
gulf	2.769231	P	ˈgʌlf
half	6.769231	P	ˈhæf
handcuff	2.507042	_P	ˈhændkəf
hearth	3.227273	P	ˈhɑɹθ
heath	2.411765	P	ˈhiθ
hieroglyph	2.043478	P_	haɪɹoʊˈglɪf
hoof	6.750000	P	ˈhuf
hyacinth	2.979167	P_	ˈhaɪəsɪnθ
kerchief	3.875000	P_	ˈkɝtʃəf
knife	6.000000	P	ˈnaɪf
laugh	2.258065	P	ˈlæf
leaf	6.615385	P	ˈlif
life	7.000000	P	ˈlaɪf
loaf	6.312500	P	ˈloʊf
mammoth	3.193548	P_	ˈmæməθ
mastiff	2.825000	P_	ˈmæstəf
monolith	2.744186	P_	ˈmɑnəlɪθ
month	1.652174	P	ˈmʌnθ
moth	4.782609	P	ˈmɔθ
motif	2.861111	_P	moʊˈtif
mouth	4.625000	P	ˈmaʊθ
myth	2.230769	P	ˈmɪθ
nymph	2.090909	P	ˈnɪmf
oath	4.588235	P	ˈoʊθ
paragraph	2.520408	_P	ˈpæɹəgɹæf, ˈpɛɹəgɹæf
path	5.391304	P	ˈpæθ
pilaf	2.909091	_P	piˈlɑf
plaintiff	2.870968	P_	ˈpleɪntəf, ˈpleɪnəf
pontiff	2.466667	P_	ˈpɑntəf, ˈpɑntɪf
proof	2.400000	P	ˈpɹuf
psychopath	4.016393	_P	ˈsaɪkoʊpæθ
puff	2.000000	P	ˈpʌf
quaff	2.357143	P	ˈkwɑf
reef	2.750000	P	ˈɹif
ref	1.100000	P	ˈɹɛf
relief	3.938144	_P	ɹɪˈlif, ɹiˈlif
roof	3.437500	P	ˈɹuf, ˈɹʊf
Sabbath	3.729730	P_	ˈsæbəθ
safe	2.400000	P	ˈseɪf
scarf	6.857143	P	ˈskɑɹf
self	6.714286	P	ˈsɛlf
serf	1.333333	P	ˈsɝf
sheaf	5.750000	P	ˈʃif
sheath	5.166667	P	ˈʃiθ
shelf	6.875000	P	ˈʃɛlf
sheriff	2.121212	P_	ˈʃɛɹəf, ˈʃɛɹɪf
skiff	2.333333	P	ˈskɪf
sleuth	3.882353	P	ˈsluθ
sloth	2.700000	P	ˈsloʊθ
sniff	1.478261	P	ˈsnɪf
spoof	2.600000	P	ˈspuf
staff	2.076923	P	ˈstæf
stiff	1.000000	P	ˈstɪf
strength	1.428571	P	ˈstɹɛŋkθ, ˈstɹɛŋθ
swath	4.575758	P	ˈswɑθ
tariff	2.240000	P_	ˈtɛɹəf
thief	6.571429	P	ˈθif
tiff	2.714286	P	ˈtɪf
triumph	2.166667	P_	ˈtɹaɪəmf
trough	3.416667	P	ˈtɹɔf
truth	4.250000	P	ˈtɹuθ
turf	2.500000	P	ˈtɝf
vermouth	4.670000	_P	vɝˈmuθ
waif	2.500000	P	ˈweɪf
wharf	5.111111	P	ˈwɔɹf, ˈhwɔɹf
whiff	2.500000	P	ˈwɪf, ˈhwɪf
width	3.703704	P	ˈwɪdθ
wife	6.352941	P	ˈwaɪf
wolf	6.571429	P	ˈwʊlf
wreath	4.600000	P	ˈɹiθ
youth	4.000000	P	ˈjuθ
zenith	3.615385	P_	ˈzinɪθ
